Customer Number_x,Account Name,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude,Exception Report
9192,University Of California Davis,93-R-0433,Class R - Research Facility,Active,,One Shields Ave,,"Davis, CA 95616",Yolo,9192,2024,44.0,87.0,17.0,63.0,164.0,1966.0,369.0,137.0,246.0,,38.55413,-121.798469,True
9193,University of California Irvine,93-R-0434,Class R - Research Facility,Active,,324 ALDRICH HALL,,"IRVINE, CA 92697",Orange,9193,2024,,6.0,88.0,401.0,74.0,,4.0,132.0,,,33.640302,-117.769442,False
9194,University of California Los Angeles,93-R-0435,Class R - Research Facility,Active,,U.C.L.A. School of Medicine - DLAM,"10833 Le Conte Ave, Room 16-222 CHS","Los Angeles, CA 90095",Los Angeles,9194,2024,,,48.0,24.0,33.0,23.0,1.0,267.0,,,34.071312,-118.443545,False
9195,University Of California - Riverside,93-R-0436,Class R - Research Facility,Active,,OFFICE OF RESEARCH INTEGRITY,200 UNIVERSITY OFFICE BUILDING,"RIVERSIDE, CA 92521",Riverside,9195,2024,,2.0,,,,,,,,,33.752886,-116.055617,False
9196,University Of California-San Diego,93-R-0437,Class R - Research Facility,Active,,"IACUC OFFICE, MAIL CODE 0071",9500 GILMAN DRIVE,"LA JOLLA, CA 92093",San Diego,9196,2024,,,,311.0,247.0,22.0,,339.0,3.0,,32.82812,-117.277153,False
9197,University Of California-Santa Barbara,93-R-0438,Class R - Research Facility,Active,,OFFICE OF RESEARCH,,"SANTA BARBARA, CA 93106",Santa Barbara,9197,2024,,,,,,,,,,,34.432896,-119.837072,False
9198,University Of California-Santa Cruz,93-R-0439,Class R - Research Facility,Active,,"Kerr Hall, 1156 High St",Long Marine Lab,"Santa Cruz, CA 95064",Santa Cruz,9198,2024,,,,,,,,,,,36.991415,-122.058791,False
9199,University Of California San Francisco,93-R-0440,Class R - Research Facility,Active,,U C S F BOX 0547,,"SAN FRANCISCO, CA 94143",San Francisco,9199,2024,,,,116.0,148.0,2.0,45.0,53.0,,,37.76313,-122.458582,True
9423,"Q Test, Ltd",31-R-0114,Class R - Research Facility,Active,,P.O. Box 12381,,"Columbus, OH 43212",Franklin,9423,2024,65.0,,47.0,,,,16.0,29.0,,,40.100924,-83.013402,False
9446,"DaVinci Biomedical Research Products, Inc.",14-R-0148,Class R - Research Facility,Active,,PO Box 1125,,"South Lancaster, MA 01561",Worcester,9446,2024,,,,,6.0,,14.0,130.0,,,42.443539,-71.686137,False
9738,Lemur Conservation Foundation,58-R-0128,Class R - Research Facility,Active,,P.O. Box 249,,"Myakka City, FL 34251",Manatee,9738,2024,,,,,,55.0,,,,,27.372771,-82.225911,False
9971,Joliet Junior College,33-R-0126,Class R - Research Facility,Active,,1215 HOUBOLT RD,,"JOLIET, IL 60431",Will,9971,2024,110.0,104.0,10.0,,29.0,,52.0,23.0,20.0,,41.500257,-88.178671,False
10055,Low Country Biosource Inc,56-R-0110,Class R - Research Facility,Active,,6133 Mount Carmel Rd,,"Walterboro, SC 29488",Colleton,10055,2024,,,60.0,,,,4.0,,,,33.007065,-80.707871,False
10115,AHED Of Ohio Inc (STAUTZENBERGER COLLEGE),31-R-0113,Class R - Research Facility,Active,,1796 INDIAN WOOD CIRCLE,,"MAUMEE, OH 43537",Lucas,10115,2024,132.0,104.0,,,6.0,,,,31.0,,41.583135,-83.683481,False
10138,Pharmaron (San Diego) Lab Services LLC,93-R-0444,Class R - Research Facility,Active,,2820 Loker Ave E,,"Carlsbad, CA 92010",San Diego,10138,2024,569.0,,2.0,12.0,1240.0,,36.0,480.0,5.0,,33.131493,-117.251737,False
10214,Oklahoma State University - Oklahoma City,73-R-0112,Class R - Research Facility,Active,,900 N. Portland Avenue,,"OKLAHOMA CITY, OK 73107",Oklahoma,10214,2024,63.0,10.0,,,3.0,,,,21.0,,35.476047,-97.58223,False
10701,Arrowhead Pharmaceuticals Inc. (Madison),35-R-0140,Class R - Research Facility,Active,,502 S Rosa Rd,,"Madison, WI 53719",Dane,10701,2024,,,,,,,,,,,43.057716,-89.478915,False
10866,Suny State College Of Optometry,21-R-0196,Class R - Research Facility,Active,,33 WEST 42ND STREET,,"NEW YORK NEW YORK, NY 10036",New York,10866,2024,,,,,,20.0,,,,,40.754273,-73.982336,False
11697,Hackensack Meridian Health (Center for Discovery and Innovation),22-R-0146,Class R - Research Facility,Active,,"123 Metro Blvd, Building 123 A",,"NUTLEY, NJ 07110",Essex,11697,2024,,,,83.0,18.0,,,,,,40.821299,-74.159449,False
12776,Center For Biologics Evaluation & Research,51-F-0024,Class F - Federal Research Facility,Active,,"FDA WHITE OAK BUILDING 71, ROOM 1004",10903 NEW HAMPSHIRE AVE,"SILVER SPRING, MD 20993",Montgomery,12776,2024,,,146.0,185.0,56.0,147.0,16.0,,,,38.991529,-77.025504,False
12782,Center For Veterinary Medicine,51-F-0026,Class F - Federal Research Facility,Active,,7500 STANDISH PLACE,,"ROCKVILLE, MD 20855",Montgomery,12782,2024,,,,,,,,,1.0,,39.107356,-77.153236,False
12784,FDA Human Foods Program,51-F-0029,Class F - Federal Research Facility,Active,,1 Iberville Dr,,"Dauphin Island, AL 36528",,12784,2024,,,,,,,,,,,30.251924,-88.106958,False
13006,WVC,88-R-0003,Class R - Research Facility,Active,,2425 EAST OQUENDO ROAD,,"LAS VEGAS, NV 89120",Clark,13006,2024,776.0,156.0,,,,,10.0,8.0,151.0,,36.082201,-115.116899,False
13171,Genesis Midwest LLC,35-R-0116,Class R - Research Facility,Active,,N6230 County Road G,,"Neillsville, WI 54456",Clark,13171,2024,,,,,,,,,,,44.644465,-90.658954,False
13318,Pet Food Solution LLC,43-R-0117,Class R - Research Facility,Active,,562 State Road DD,,"AUXVASSE, MO 65231",Callaway,13318,2024,,,,,,,,,,,39.046351,-92.091808,False
13428,Noble Life Sciences Inc,51-R-0092,Class R - Research Facility,Active,,1500 Fannie Dorsey Rd,,"Sykesville, MD 21784",Carroll,13428,2024,,,,,116.0,,21.0,63.0,,,39.409239,-77.046699,False
13477,Grand Valley State University,34-R-0149,Class R - Research Facility,Active,,"049 James H Zumberge Hall, 1 Campus Drive",,"Allendale, MI 49401",Ottawa,13477,2024,,,,,,,,,,,42.979522,-85.93927,False
14167,"Cell Signaling Technology, Inc.",14-R-0157,Class R - Research Facility,Active,,3 TRASK LANE,,"DANVERS, MA 01923",Essex,14167,2024,,,,,1022.0,,,,,,42.569757,-70.908558,False
14297,"Fabgennix International, Inc",74-R-0230,Class R - Research Facility,Active,,9191 Kyser Way,"Bldg. 4 , Suite 402","Frisco, TX 75033",Denton,14297,2024,,,,,65.0,,,,,,33.15435,-96.860095,False
14439,Biomune Company (Ceva),48-R-0107,Class R - Research Facility,Active,,8906 Rosehill Rd,,"Lenexa, KS 66215",Johnson,14439,2024,,,2.0,,,,,,,,38.966938,-94.733377,False
14681,The Binding Site VT INC,13-R-0011,Class R - Research Facility,Active,,3697 ROUTE 144,,"FAIRHAVEN, VT 05743",Rutland,14681,2024,,,,,,,911.0,,,,43.742019,-73.23996,False
15053,Pima Community College- East Campus,86-R-0033,Class R - Research Facility,Active,,8181 EAST IRVINGTON ROAD,,"TUCSON, AZ 85709",Pima,15053,2024,,,,,,,,,,,32.165665,-110.817733,False
15097,Triple J Farms & Kent Labs,91-R-0054,Class R - Research Facility,Active,,777 JORGENSEN PLACE,,"BELLINGHAM, WA 98226",Whatcom,15097,2024,,,,,,,2.0,,28.0,,48.841956,-122.448769,False
