establishment_id,establishment_name,street,city,state,zip,latitude,longitude,type,slaughter,animals_slaughtered_list,animals_processed_list,phone,grant_date,dbas,slaughter_volume_category,processing_volume_category
NZGVGHC1/01,New Zealand Global Ventures Limited,"8D Piermark Drive, Rosedale",Auckland,Auckland Council,,-36.7479151,174.702676,Risk Management Programme - Bee products - Bulk honey storage,No,,"Animal products (non-dairy), Bee products",,2021-11-02,Global Honey Corp,,
NZH01/01,Institut De Selection Animale (New Zealand) Limited,2636 River Road,Tuakau,Waikato District Council,,-37.2885025,174.9427496,Risk Management Programme - Chicken producers,No,,"Breeder chickens, Day-old chicks, Eggs, Fertile eggs, Rearer laying chickens",,2023-10-30,Bromley Park Hatcheries Limited,,
NZH02/01,Tegel Foods Limited,"464 Richmond Road, Lepperton",New Plymouth,New Plymouth District Council,,-39.0944035,174.2350345,Risk Management Programme - Chicken producers,No,,"Breeder chickens, Day-old chicks, Eggs, Fertile eggs",,2023-10-27,,,
NZH03/01,Inghams Enterprises (NZ) Pty Limited,115 Brown Road,Tuakau,Waikato District Council,,-37.288222,174.968197,"Risk Management Programme - Chicken producers, Eggs",No,,"Breeder chickens, Day-old chicks, Eggs, Fertile eggs",,2023-10-20,,,
NZH04/01,Aviagen New Zealand Limited,"20 Constance Street, Waiwhakaiho",New Plymouth,New Plymouth District Council,,-39.0491176,174.1087235,Risk Management Programme - Chicken producers,No,,"Breeder chickens, Day-old chicks, Fertile eggs",,2023-10-30,,,
NZH05/01,Tegel Foods Limited,"37 Waiau Road, Onaero",Urenui,New Plymouth District Council,,0.0,0.0,"Risk Management Programme - Chicken producers, Eggs",No,,"Breeder chickens, Day-old chicks, Eggs, Fertile eggs",,2023-10-27,Golden Coast Commercial,,
NZH06/01,Institut De Selection Animale (South Island) Limited,"139 Bradleys Road,RD2",Kaiapoi,Waimakariri District Council,,0.0,0.0,Risk Management Programme - Chicken producers,No,,"Breeder chickens, Day-old chicks, Eggs, Fertile eggs, Rearer laying chickens",,2023-10-30,Bromley Park Hatcheries Limited,,
NZH07/01,Cobb-Vantress New Zealand Limited,851 Rotongaro Road,Huntly,Waikato District Council,,0.0,0.0,Risk Management Programme - Chicken producers,No,,"Breeder chickens, Day-old chicks, Fertile eggs",,2023-10-30,,,
NZHF1/01,New Zealand Honey Farms Limited,235 Buchanans Road,Christchurch,Christchurch City Council,,-43.5262798,172.5174021,Risk Management Programme - Bee products - Honey and dried pollen processing,No,,"Bee products, Beeswax, Dried pollen, Non-AP, Propolis, Royal jelly",,2019-03-14,,,
NZHFCO1/01,New Zealand Health Food Company Limited,"215 Wooldridge Road, Burnside",Christchurch,Christchurch City Council,,-43.4884306,172.5656828,Risk Management Programme - Custom,No,,"Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Comb honey, Fats/oils, Fish, Non-AP, Red meat, Supplements",,2022-04-14,,,
NZHFCO2/01,New Zealand Health Food Company Limited,161 Raddens Road,Ohoka,Selwyn District Council,,-43.377912,172.5944907,Risk Management Programme - Bee products - Bulk honey storage,No,,Bee products,,2021-11-11,,,
NZHFS1/01,NZ Harvest Foods Limited,708 Marua Road,Hikurangi,Whangarei District Council,,-35.5681233,174.3527698,Risk Management Programme - Custom,No,,"Bobby calves, Other animal products, Red meat",,2024-04-12,,,
NZHFS1/02,NZ Harvest Foods Limited,708 Marua Road,Hikurangi,Whangarei District Council,,-35.5681233,174.3527698,Risk Management Programme - Micro Abattoir,No,,"Alpacas/llamas, Buffalo, Cattle, Deer, Emus, Farmed pigs, Goats, Horses (includes mules, donkeys & hinnies), Offal, Ostriches & emus, Red meat, Red offals, Sheep",,2025-08-22,,,
